latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-20.18075,124.91906,368.5,1.07,1.03,2023/6/9,126,T,100,6.1NRT,303.43,109.66,D
-20.18229,124.92908,358.71,1.06,1.03,2023/6/9,126,T,99,6.1NRT,304.33,79.27,D
-20.18384,124.9391,331.1,1.06,1.03,2023/6/9,126,T,84,6.1NRT,301.45,22.69,D
-20.18217,124.86726,321.1,1.07,1.03,2023/6/9,126,T,59,6.1NRT,295.06,14.53,D
-20.18372,124.87733,344.45,1.07,1.03,2023/6/9,126,T,93,6.1NRT,296.95,49.62,D
-20.18837,124.90747,371.42,1.07,1.03,2023/6/9,126,T,100,6.1NRT,300.03,121.82,D
-20.18991,124.91751,380.58,1.07,1.03,2023/6/9,126,T,100,6.1NRT,303.93,156.93,D
-20.19146,124.92754,337.88,1.06,1.03,2023/6/9,126,T,69,6.1NRT,300.21,29.69,D
-20.193,124.93756,337.88,1.06,1.03,2023/6/9,126,T,70,6.1NRT,300.46,31.17,D
-20.20374,125.00749,320.38,1.06,1.03,2023/6/9,126,T,74,6.1NRT,298.45,12.89,D
-20.228,125.16599,316.98,1.05,1.02,2023/6/9,126,T,54,6.1NRT,300.35,7.98,D
-20.22951,125.17584,313.92,1.05,1.02,2023/6/9,126,T,27,6.1NRT,298.15,5.57,D
-20.19754,124.90591,345.65,1.07,1.03,2023/6/9,126,T,93,6.1NRT,299.18,50.62,D
-20.19908,124.91595,341.9,1.07,1.03,2023/6/9,126,T,91,6.1NRT,298.87,40.23,D
-20.20062,124.92599,340.55,1.06,1.03,2023/6/9,126,T,87,6.1NRT,299.91,35.66,D
-20.20671,124.90437,365.05,1.07,1.03,2023/6/9,126,T,100,6.1NRT,300.34,102.19,D
-20.20825,124.9144,357.76,1.07,1.03,2023/6/9,126,T,99,6.1NRT,301.47,78.44,D
-20.21285,124.94447,353.68,1.06,1.03,2023/6/9,126,T,97,6.1NRT,300.64,66.65,D
-20.28762,125.43663,314.21,1.03,1.01,2023/6/9,126,T,43,6.1NRT,299.22,5.59,D
-20.28908,125.44633,323.4,1.03,1.01,2023/6/9,126,T,77,6.1NRT,299.41,14.89,D
-20.29054,125.45602,314.44,1.03,1.01,2023/6/9,126,T,50,6.1NRT,298.19,6.04,D
-20.21931,124.93684,320.11,1.06,1.03,2023/6/9,126,T,47,6.1NRT,298.61,10.93,D
-20.25632,125.17492,319.04,1.04,1.02,2023/6/9,126,T,72,6.1NRT,298.49,11.46,D
-20.29684,125.43859,313.61,1.03,1.01,2023/6/9,126,T,61,6.1NRT,298.96,6.19,D
-20.25168,125.08461,327.28,1.05,1.02,2023/6/9,126,T,81,6.1NRT,297.04,20.97,D
-20.25321,125.09451,327.34,1.05,1.02,2023/6/9,126,T,81,6.1NRT,297.81,21.29,D
-20.25474,125.1044,322.72,1.05,1.02,2023/6/9,126,T,77,6.1NRT,298.11,15.65,D
-20.23919,124.94375,316.9,1.06,1.03,2023/6/9,126,T,46,6.1NRT,298.13,8.83,D
-20.21535,124.73043,319.79,1.08,1.04,2023/6/9,126,T,73,6.1NRT,297.73,12.22,D
-20.22959,124.82162,312.06,1.07,1.03,2023/6/9,126,T,57,6.1NRT,297.31,6.18,D
-20.23116,124.8317,326.32,1.07,1.03,2023/6/9,126,T,80,6.1NRT,298.03,21.31,D
-20.23273,124.84178,314.76,1.07,1.03,2023/6/9,126,T,65,6.1NRT,296.9,8.36,D
-20.239,124.88204,313.48,1.07,1.03,2023/6/9,126,T,54,6.1NRT,297.67,6.61,D
-20.30611,125.31737,314.44,1.04,1.02,2023/6/9,126,T,64,6.1NRT,297.28,7.78,D
-20.3076,125.32713,328.52,1.03,1.02,2023/6/9,126,T,82,6.1NRT,298.99,22.75,D
-20.22616,124.73901,318.74,1.08,1.04,2023/6/9,126,T,70,6.1NRT,297.1,10.67,D
-20.35002,125.23978,325.6,1.04,1.02,2023/6/9,126,T,79,6.1NRT,297.69,18.08,D
-20.35151,125.24959,322.66,1.04,1.02,2023/6/9,126,T,76,6.1NRT,298.24,14.75,D
-20.35299,125.25938,336.65,1.04,1.02,2023/6/9,126,T,88,6.1NRT,298.91,33.06,D
-20.35447,125.26918,330.37,1.04,1.02,2023/6/9,126,T,83,6.1NRT,299.63,22.54,D
-20.35596,125.27897,371.61,1.04,1.02,2023/6/9,126,T,100,6.1NRT,302.79,120.7,D
-20.35743,125.28874,354.16,1.04,1.02,2023/6/9,126,T,97,6.1NRT,301.55,68.22,D
-20.35905,125.24224,327.06,1.04,1.02,2023/6/9,126,T,81,6.1NRT,299.08,19.46,D
-20.36507,125.28139,318.37,1.04,1.02,2023/6/9,126,T,66,6.1NRT,298.77,9.72,D
-20.35905,125.18188,350.23,1.04,1.02,2023/6/9,126,T,95,6.1NRT,298.46,60.07,D
-20.36057,125.19171,337.65,1.04,1.02,2023/6/9,126,T,89,6.1NRT,298.28,33.86,D
-20.36208,125.20153,334.23,1.04,1.02,2023/6/9,126,T,86,6.1NRT,299.05,28.4,D
-20.36811,125.24072,331.24,1.04,1.02,2023/6/9,126,T,84,6.1NRT,298.93,24.25,D
-20.37115,125.20001,322.15,1.04,1.02,2023/6/9,126,T,65,6.1NRT,298.09,14.45,D
-20.38173,125.20829,329.39,1.04,1.02,2023/6/9,126,T,57,6.1NRT,299.38,20.81,D
-20.38323,125.21809,331.1,1.04,1.02,2023/6/9,126,T,83,6.1NRT,300.54,23.22,D
